,index,Primary_applicant_age_in_years,Gender,Marital_status,Housing,Employed_for_at_least_years,Foreign_worker,SA_balance_type,Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,high_risk_applicant
361,398,46,1,0,2,7,1,1,12,6,1223000,1,3,0,0,2,1
362,399,43,0,1,1,1,1,4,24,5,1516000,4,3,0,0,2,0
363,400,39,1,2,1,0,1,1,18,5,1473000,3,3,0,0,1,0
364,401,28,1,2,1,1,1,3,18,1,1887000,4,3,0,0,2,0
365,403,27,1,3,1,1,1,1,14,6,802000,4,2,0,0,2,0
366,404,43,1,3,1,7,1,3,18,6,2899000,4,2,0,0,1,0
367,405,22,1,2,1,0,1,1,24,5,2039000,1,1,0,0,1,1
368,406,43,1,3,1,4,1,3,24,8,2197000,4,2,0,0,2,0
369,407,27,1,2,1,0,0,1,15,5,1053000,4,3,0,0,1,0
370,408,26,1,0,1,7,1,0,24,5,3235000,3,2,0,0,1,0
371,409,28,1,2,1,4,1,0,12,6,939000,4,3,0,0,3,1
372,410,20,0,1,1,7,1,1,24,5,1967000,4,2,0,0,1,0
373,411,35,1,3,1,4,1,1,33,8,7253000,3,2,0,0,2,0
374,412,42,1,3,1,0,1,1,12,1,2292000,4,2,0,0,2,1
375,413,40,1,3,2,1,0,0,10,6,1597000,3,0,0,0,1,0
376,414,35,0,1,1,1,1,3,24,6,1381000,4,1,0,0,1,1
377,415,35,1,3,1,7,1,1,36,8,5842000,2,1,0,0,2,0
378,416,33,1,3,1,0,1,1,12,6,2579000,4,3,0,0,1,1
379,418,31,0,1,1,4,1,0,21,6,2782000,1,2,0,0,1,0
380,419,33,0,1,1,1,1,3,18,6,1042000,4,1,0,0,1,1
381,420,20,0,1,2,4,1,4,15,6,3186000,2,2,0,0,1,0
382,421,30,1,3,1,1,1,3,12,8,2028000,4,2,0,0,1,0
383,422,47,1,3,1,4,1,1,12,6,958000,2,3,0,0,2,0
384,423,34,1,3,1,4,1,2,21,0,1591000,4,3,0,0,2,0
385,424,25,0,1,1,7,1,3,12,0,2762000,1,1,0,0,1,1
386,425,21,1,2,2,1,1,1,18,8,2779000,1,2,0,0,1,0
387,426,29,1,3,1,7,1,1,28,5,2743000,4,2,0,0,2,0
388,427,46,1,3,1,1,1,4,18,5,1149000,4,3,0,0,2,0
389,428,20,1,3,1,7,1,1,9,0,1313000,1,2,0,0,1,0
390,429,55,0,1,0,0,1,1,18,7,1190000,2,0,0,0,3,1
391,430,74,1,3,1,4,1,1,5,1,3448000,1,3,0,0,1,0
392,432,36,1,3,0,0,1,1,6,0,1872000,4,0,0,0,3,0
393,433,33,1,0,1,1,1,1,24,7,2058000,4,3,0,0,2,0
394,434,25,1,3,1,1,1,1,9,0,2136000,3,3,0,0,1,0
395,435,25,1,2,1,1,1,3,12,5,1484000,2,3,0,0,1,1
396,436,23,1,2,2,4,1,0,6,7,660000,2,3,0,0,1,0
397,437,37,0,1,1,7,1,4,24,6,1287000,4,3,0,0,2,0
398,438,65,1,3,1,0,1,1,42,7,3394000,4,2,1,0,2,0
399,439,26,0,1,1,0,1,1,12,1,609000,4,3,0,0,1,1
400,440,39,1,3,1,7,1,1,12,6,1884000,4,2,0,0,1,0
401,441,30,0,1,1,1,1,1,12,0,1620000,2,1,1,0,1,0
402,443,41,1,3,1,7,1,1,12,4,719000,4,2,0,0,1,1
403,444,30,0,1,1,1,1,1,48,0,5096000,2,2,0,0,1,1
404,445,41,0,1,2,7,1,3,9,4,1244000,4,1,0,0,2,0
405,446,34,0,1,1,0,1,1,36,6,1842000,4,2,0,0,1,1
406,447,35,1,3,1,1,1,1,7,5,2576000,2,3,0,1,1,0
407,448,55,0,1,1,7,1,3,12,0,1424000,3,3,0,0,1,0
408,449,61,1,2,1,1,1,4,15,7,1512000,3,1,0,0,2,1
409,451,29,0,1,1,1,1,1,6,5,518000,3,3,0,0,1,0
410,452,34,1,3,1,7,1,1,12,0,2759000,2,1,0,0,2,0
411,453,35,1,3,1,7,1,1,24,8,2670000,4,2,0,0,1,0
412,454,31,1,3,1,4,1,1,24,6,4817000,2,1,1,0,1,1
413,455,29,0,1,1,0,1,1,24,8,2679000,4,0,0,0,1,0
414,456,36,1,3,2,1,1,1,11,6,3905000,2,3,0,0,2,0
415,457,35,1,3,0,7,1,1,12,8,3386000,3,0,0,0,1,1
416,458,27,0,1,1,0,1,1,6,3,343000,4,3,0,0,1,0
417,459,32,1,3,1,0,1,1,18,5,4594000,3,2,0,0,1,0
418,460,37,1,3,1,1,1,1,36,0,3620000,1,1,0,1,1,0
419,461,36,1,3,1,0,1,1,15,6,1721000,2,3,0,0,1,0
420,462,34,0,1,2,0,1,1,12,0,3017000,3,3,0,0,1,0
421,463,38,1,3,1,7,1,3,12,2,754000,4,1,0,0,2,0
422,464,34,1,3,1,4,1,1,18,1,1950000,4,2,0,0,2,0
423,465,63,1,3,1,1,1,1,24,8,2924000,3,0,0,1,1,0
424,466,29,0,1,2,0,1,1,24,5,1659000,4,2,0,0,1,1
425,467,32,1,3,1,7,1,3,48,5,7238000,3,2,0,0,2,0
426,468,26,0,1,1,1,1,1,33,1,2764000,2,2,0,0,2,0
427,469,35,1,3,1,4,1,1,24,8,4679000,3,2,0,0,2,0
428,470,22,1,2,2,0,1,2,24,5,3092000,3,2,0,0,1,1
429,471,23,0,1,1,0,1,1,6,4,448000,4,1,0,0,1,1
430,472,28,1,3,1,1,1,1,9,6,654000,4,2,0,0,1,1
431,473,36,1,3,1,0,1,3,6,2,1238000,4,1,0,0,1,0
432,474,33,1,2,1,1,1,1,18,5,1245000,4,2,0,0,1,1
433,475,26,0,1,2,0,1,1,18,0,3114000,1,1,0,0,1,1
434,476,24,1,3,1,1,1,0,39,8,2569000,4,2,0,0,1,0
435,477,25,1,3,1,4,1,1,24,5,5152000,4,2,0,0,1,0
436,478,39,1,3,1,4,1,2,12,1,1037000,3,3,0,0,1,0
437,479,44,1,3,1,7,1,1,15,0,1478000,4,2,0,0,2,0
438,480,23,0,1,1,1,1,1,12,5,3573000,1,3,0,0,1,0
439,481,26,1,3,1,0,1,1,24,6,1201000,4,1,0,0,1,0
440,482,57,0,1,2,7,1,4,30,0,3622000,4,1,0,0,2,0
441,483,30,0,1,1,4,1,4,15,0,960000,3,1,0,0,2,0
442,484,44,1,3,1,1,1,0,12,6,1163000,4,3,0,0,1,0
443,485,47,1,3,1,0,1,1,6,6,1209000,4,1,0,0,1,1
444,486,52,1,3,1,1,1,1,12,5,3077000,2,2,0,0,1,0
445,487,62,0,1,0,7,1,1,24,6,3757000,4,0,1,0,1,0
446,488,35,1,3,2,1,0,2,10,6,1418000,3,3,0,0,1,0
447,489,26,1,3,2,1,1,1,6,6,3518000,2,1,0,1,1,0
448,490,26,1,3,1,7,1,1,12,5,1934000,2,0,0,0,2,0
449,492,27,0,1,1,1,1,2,6,5,1237000,1,1,0,0,2,0
450,493,38,1,3,1,7,1,3,6,5,368000,4,1,0,0,1,0
451,494,39,1,3,2,1,0,1,12,6,2122000,3,3,0,0,2,0
452,495,20,1,2,1,1,1,3,24,0,2996000,2,2,0,0,1,1
453,497,40,1,3,1,4,1,1,24,0,1585000,4,1,0,0,2,0
454,498,32,1,2,1,7,1,1,18,5,1301000,4,3,0,1,1,0
455,499,28,1,0,1,7,1,2,6,6,1323000,2,2,0,0,2,0
456,500,27,0,1,1,0,1,1,24,6,3123000,4,1,0,0,1,1
457,501,42,1,3,0,7,1,1,36,8,5493000,2,0,0,0,1,0
458,502,49,1,0,1,7,1,2,9,5,1126000,2,3,0,0,1,0
459,503,38,1,3,1,0,1,2,24,5,1216000,4,0,0,0,2,1
460,504,24,0,1,2,0,1,1,24,6,1207000,4,1,0,0,1,1
461,505,27,1,3,1,1,1,3,10,6,1309000,4,1,0,1,1,1
462,506,36,1,3,1,1,1,0,15,8,2360000,2,2,0,0,1,0
463,507,34,1,3,1,0,1,2,15,6,6850000,1,1,0,0,1,1
464,508,28,1,2,1,1,1,1,24,5,1413000,4,1,0,0,1,0
465,510,26,1,3,1,4,1,1,12,6,759000,4,3,0,0,1,1
466,511,32,1,3,0,1,1,1,36,8,4686000,2,0,0,0,1,0
467,512,26,1,3,2,4,1,1,15,1,2687000,2,1,0,0,1,0
468,513,20,1,2,2,1,1,1,12,5,585000,4,3,1,0,2,0
469,514,54,1,3,1,0,1,3,24,6,2255000,4,1,0,0,1,0
470,515,37,0,1,1,4,0,1,6,6,609000,4,1,0,0,2,0
471,516,40,1,3,1,0,0,1,6,6,1361000,2,3,0,0,1,0
472,517,23,0,1,2,0,1,1,36,0,7127000,2,1,0,0,2,1
473,518,43,1,3,1,7,1,2,6,6,1203000,3,1,0,0,1,0
474,519,36,1,3,0,7,1,3,6,5,700000,4,0,0,0,2,0
475,520,44,1,3,0,7,1,1,24,7,5507000,3,0,0,0,2,0
476,521,24,0,1,1,1,1,1,18,5,3190000,2,3,0,0,1,1
477,522,53,1,3,0,1,1,1,48,0,7119000,3,0,0,0,2,1
478,523,23,0,1,1,4,1,2,24,8,3488000,3,2,0,0,1,0
479,524,26,0,1,1,1,1,1,18,5,1113000,4,3,0,1,1,0
480,526,31,0,1,1,1,1,2,15,4,1532000,4,2,0,0,1,0
481,527,42,1,3,1,4,1,1,4,5,1503000,2,3,0,0,2,0
482,528,31,1,0,2,1,1,1,36,5,2302000,4,2,0,0,1,1
483,529,41,1,3,1,0,1,1,6,6,662000,3,3,0,0,1,0
484,530,32,1,3,1,4,1,1,36,4,2273000,3,2,0,0,2,0
485,531,28,0,1,2,1,1,2,15,6,2631000,2,2,0,0,2,1
486,532,41,1,2,2,1,1,1,12,8,1503000,4,3,0,0,1,0
487,533,26,1,2,1,4,1,2,24,5,1311000,4,1,0,0,1,0
488,534,25,1,3,1,0,1,3,24,5,3105000,4,2,0,0,2,0
489,535,33,1,0,2,0,1,1,21,4,2319000,2,2,0,0,1,1
490,536,75,0,1,1,0,1,3,6,6,1374000,4,1,0,0,1,0
491,537,37,0,1,1,7,1,1,18,0,3612000,3,1,0,0,1,0
492,538,42,1,3,0,7,1,1,48,6,7763000,4,0,0,0,1,1
493,539,45,0,1,1,0,1,1,18,0,3049000,1,1,0,0,1,0
494,540,23,1,2,2,0,1,1,12,5,1534000,1,3,0,0,1,1
495,541,60,1,3,0,7,1,1,24,6,2032000,4,0,0,0,2,0
496,542,31,1,3,1,7,1,3,30,0,6350000,4,1,0,0,1,1
497,543,34,1,3,1,1,1,1,18,0,2864000,2,3,0,0,1,1
498,544,61,1,3,1,7,1,1,12,6,1255000,4,3,0,0,2,0
499,545,43,1,3,0,0,1,1,24,6,1333000,4,3,0,0,2,1
500,546,37,0,1,1,1,1,1,24,6,2022000,4,2,0,0,1,0
501,547,32,1,3,1,4,1,1,24,5,1552000,3,2,0,0,1,0
502,548,24,0,1,1,1,1,1,12,5,626000,4,3,0,0,1,1
503,550,23,0,1,1,4,1,3,12,7,996000,4,3,0,0,2,0
504,551,45,1,3,1,7,1,0,6,5,1750000,2,1,0,0,1,0
505,552,34,1,2,1,4,1,1,48,5,6999000,1,3,0,1,2,1
506,553,27,1,3,1,0,1,2,12,6,1995000,4,2,0,0,1,0
507,554,67,0,1,1,4,1,1,9,4,1199000,4,1,0,0,2,0
508,555,22,1,3,1,0,1,1,12,5,1331000,2,2,0,0,1,1
509,556,28,0,1,1,0,1,2,18,6,2278000,3,2,0,0,2,1
510,557,29,0,1,1,1,1,3,21,6,5003000,1,1,0,0,2,1
511,558,27,1,3,1,4,1,1,24,0,3552000,3,2,0,0,1,1
512,559,31,1,3,1,0,1,1,18,0,1928000,2,3,0,0,2,1
513,560,49,1,3,0,7,1,3,24,8,2964000,4,0,0,0,1,0
514,561,24,1,3,2,4,1,1,24,5,1546000,4,2,0,1,1,1
515,562,29,0,1,1,0,1,1,6,5,683000,2,1,0,0,1,0
516,564,37,1,3,1,1,1,3,24,1,4712000,4,1,0,0,2,0
517,565,23,0,1,2,4,1,2,24,5,1553000,3,1,0,0,2,0
518,566,36,1,0,1,4,1,1,12,6,1372000,2,2,0,0,1,1
519,567,34,1,3,1,7,1,4,24,5,2578000,2,2,0,0,1,0
520,568,41,1,3,1,4,1,3,48,5,3979000,4,2,0,0,2,0
521,569,31,0,1,1,1,1,1,48,5,6758000,3,2,0,0,1,1
522,570,23,0,1,2,0,1,1,24,0,3234000,4,3,0,0,1,1
523,571,38,1,3,1,4,1,1,30,5,5954000,3,2,1,0,1,0
524,572,26,0,1,2,0,1,3,24,8,5433000,2,1,0,0,1,0
525,573,22,0,1,1,1,1,1,15,1,806000,4,1,0,0,1,0
526,574,27,1,3,1,7,1,1,9,5,1082000,4,2,0,0,2,0
527,575,24,0,1,1,4,1,1,15,0,2788000,2,2,1,0,2,0
528,576,27,0,1,1,4,1,1,12,5,2930000,2,3,0,0,1,0
529,577,33,0,1,1,1,1,3,24,4,1927000,3,2,0,0,2,0
530,578,27,1,0,1,0,1,1,36,6,2820000,4,2,0,0,2,1
531,579,27,1,2,1,0,1,1,24,2,937000,4,2,0,0,2,0
532,580,30,1,3,1,7,1,1,18,6,1056000,3,3,0,1,2,1
533,581,49,1,3,1,0,1,1,12,6,3124000,1,3,0,0,2,0
534,582,26,0,1,2,1,1,1,9,0,1388000,4,3,0,0,1,0
535,583,33,1,3,2,0,1,1,36,7,2384000,4,0,0,0,1,1
536,584,52,0,1,0,7,1,3,12,6,2133000,4,0,0,0,1,0
537,585,20,0,1,2,1,1,1,18,0,2039000,1,3,0,0,1,1
538,586,36,1,3,2,1,1,1,9,6,2799000,2,3,0,0,2,0
539,587,21,1,3,1,1,1,1,12,0,1289000,4,1,0,1,1,0
540,588,47,1,2,1,1,1,1,18,3,1217000,4,3,0,0,1,1
541,589,60,1,3,1,7,1,1,12,0,2246000,3,1,0,0,2,1
542,590,58,0,1,1,4,1,1,12,5,385000,4,3,0,0,4,0
543,591,42,0,1,2,1,1,3,24,6,1965000,4,2,0,0,2,0
544,592,36,0,1,1,7,1,4,21,1,1572000,4,3,0,0,1,0
545,593,20,0,1,2,1,1,1,24,6,2718000,3,1,0,0,1,1
546,595,32,0,1,1,0,1,2,6,6,931000,1,1,0,0,1,1
547,596,23,0,1,2,4,1,1,24,6,1442000,4,2,0,0,2,1
548,597,36,1,3,1,1,1,1,24,1,4241000,1,3,0,0,3,1
549,598,31,1,3,1,4,1,1,18,6,2775000,2,1,0,0,2,1
550,599,32,1,3,0,1,1,1,24,1,3863000,1,0,0,0,1,0
551,600,45,0,1,1,0,1,1,7,5,2329000,1,3,0,1,1,0
552,601,30,0,1,1,1,1,1,9,0,918000,4,1,0,0,1,1
553,602,34,0,1,0,4,1,1,24,4,1837000,4,0,0,0,1,1
554,603,28,0,1,1,1,1,1,36,0,3349000,4,2,0,0,1,1
555,604,23,0,1,1,0,1,1,10,0,1275000,4,1,0,0,1,0
556,605,22,1,3,1,1,1,0,24,0,2828000,4,3,0,0,1,0
557,606,74,1,3,1,1,1,1,24,1,4526000,3,3,0,0,1,0
558,607,50,0,1,0,1,1,2,36,5,2671000,4,0,1,0,1,1
559,608,33,1,3,1,0,1,1,18,5,2051000,4,3,0,0,1,0
560,609,45,1,3,0,7,1,3,15,8,1300000,4,0,0,0,1,0
561,610,22,0,1,1,0,1,2,12,3,741000,4,1,0,0,1,1
562,611,48,0,1,0,7,1,2,10,6,1240000,1,0,0,0,1,1
563,612,29,0,1,1,0,1,4,21,5,3357000,4,2,0,0,1,0
564,613,22,0,1,2,1,0,1,24,8,3632000,1,2,0,1,1,0
565,614,22,0,1,1,4,1,1,18,0,1808000,4,3,0,0,1,1
566,617,37,1,3,2,1,1,1,6,6,3676000,1,3,0,0,3,0
567,618,21,0,1,2,1,1,2,30,0,3441000,2,2,1,0,1,1
568,619,49,1,0,1,1,1,1,12,6,640000,4,3,0,0,1,0
569,620,27,1,3,1,4,1,1,21,1,3652000,2,1,0,0,2,0
570,621,32,1,3,1,1,1,1,18,6,1530000,3,1,0,0,2,1
571,622,38,1,0,1,1,1,3,48,1,3914000,4,3,0,0,1,1
572,623,22,0,1,2,0,1,1,12,0,1858000,4,2,0,0,1,0
573,624,65,1,3,0,1,1,1,18,5,2600000,4,0,0,0,2,1
574,625,35,1,3,1,7,1,3,15,5,1979000,4,2,0,0,1,0
575,626,41,1,3,1,1,1,1,6,0,2116000,2,3,0,0,1,0
576,627,29,1,3,1,4,1,2,9,6,1437000,2,0,0,0,1,1
577,628,36,1,3,1,1,1,0,42,0,4042000,4,3,0,0,2,0
578,629,64,1,3,1,7,1,3,9,4,3832000,1,3,0,0,1,0
579,630,28,0,1,1,1,1,1,24,5,3660000,2,2,0,0,1,0
580,631,44,1,3,1,1,1,1,18,0,1553000,4,2,0,0,1,1
581,632,23,1,3,1,0,1,3,15,5,1444000,4,1,0,0,1,0
582,633,19,0,1,2,0,1,1,9,0,1980000,2,2,1,0,2,1
583,634,25,0,1,1,0,1,1,24,6,1355000,3,2,0,0,1,1
584,635,47,1,3,1,7,1,1,12,4,1393000,4,1,0,0,3,0
585,636,28,0,1,1,4,1,0,24,5,1376000,4,2,0,0,1,0
586,638,34,0,1,1,0,1,1,12,5,1493000,4,2,0,0,1,0
587,639,26,1,3,1,4,1,1,42,5,4370000,3,1,0,0,2,1
588,640,27,0,1,1,0,1,1,18,4,750000,4,3,0,0,1,1
589,641,38,1,3,1,7,1,1,15,7,1308000,4,2,0,0,2,0
590,642,40,1,3,1,1,1,2,15,4,4623000,3,1,0,0,1,1
591,643,33,1,2,1,4,1,1,24,5,1851000,4,2,0,1,2,0
592,644,32,1,2,1,4,1,1,18,5,1880000,4,1,0,0,2,0
593,646,32,1,0,1,1,1,1,30,0,4583000,2,3,0,1,2,0
594,647,26,0,1,1,1,1,0,12,6,1386000,2,1,0,0,1,1
595,648,38,1,3,0,4,1,1,24,6,947000,4,0,0,0,1,1
596,649,40,1,3,2,1,1,1,12,4,684000,4,2,0,0,1,1
597,650,50,1,3,0,4,1,1,48,4,7476000,4,0,0,0,1,0
598,651,37,1,3,1,1,1,1,12,0,1922000,4,1,0,0,1,1
599,652,45,1,3,1,7,1,1,24,6,2303000,4,3,1,0,1,1
600,654,35,1,3,1,4,1,1,24,8,2346000,4,2,0,0,2,0
601,655,22,1,3,0,0,1,1,14,6,3973000,1,0,0,0,1,0
602,656,41,1,3,1,7,1,1,12,6,888000,4,2,0,0,1,1
603,658,28,0,1,1,1,1,1,30,1,4221000,2,2,0,0,2,0
604,659,41,1,3,1,7,1,1,18,0,6361000,2,0,0,0,1,0
605,660,23,1,2,2,1,1,1,12,5,1297000,3,3,0,0,1,0
606,661,23,1,2,1,1,1,3,12,6,900000,4,2,0,0,1,1
607,662,50,1,3,1,7,1,1,21,0,2241000,4,3,0,0,2,0
608,663,35,1,3,1,0,1,1,6,0,1050000,4,1,0,0,2,0
609,664,50,0,1,1,1,1,1,6,4,1047000,2,1,0,0,1,0
610,666,34,1,3,1,1,1,4,30,0,3496000,4,2,0,0,1,0
611,667,27,0,1,1,1,1,1,48,1,3609000,1,3,0,0,1,0
612,668,43,1,3,2,7,1,1,12,6,4843000,3,1,1,0,2,1
613,669,47,1,3,1,7,1,1,30,5,3017000,4,1,0,0,1,0
614,670,27,1,3,1,1,1,2,24,1,4139000,3,1,0,0,2,0
615,671,31,1,3,1,4,1,2,36,1,5742000,2,2,0,0,2,0
616,673,24,1,2,1,1,1,0,6,6,2080000,1,2,0,0,1,0
617,674,41,1,3,1,0,1,0,21,1,2580000,4,3,0,0,1,1
618,675,26,0,1,2,4,1,1,30,5,4530000,4,2,0,0,1,0
619,676,33,1,3,1,7,1,1,24,0,5150000,4,2,0,0,1,0
620,677,24,1,2,1,1,1,2,72,5,5595000,2,2,0,0,1,1
621,678,64,1,3,2,7,1,1,24,5,2384000,4,3,0,0,1,0
622,679,26,0,1,1,0,1,1,18,5,1453000,3,3,0,0,1,0
623,680,56,0,1,1,0,1,1,6,4,1538000,1,0,0,0,1,0
624,681,37,1,3,0,1,1,3,12,5,2279000,4,0,0,0,1,0
625,682,33,1,2,1,1,1,1,15,5,1478000,4,3,0,0,2,0
626,683,47,1,2,0,0,1,1,24,5,5103000,3,0,0,0,3,0
627,685,34,1,3,0,1,1,3,60,6,6527000,4,0,0,0,1,0
628,686,27,1,3,1,4,1,3,10,5,1347000,4,1,0,0,2,0
629,687,30,1,3,0,7,1,2,36,6,2862000,4,0,0,0,1,0
630,688,35,1,3,1,7,1,2,9,5,2753000,3,2,1,0,1,0
631,689,31,1,3,1,1,1,4,12,6,3651000,1,1,0,0,1,0
632,690,25,1,0,1,1,1,1,15,0,975000,2,1,0,0,2,0
633,691,25,0,1,1,1,1,2,15,7,2631000,3,3,0,0,1,0
634,692,29,1,3,1,0,1,2,24,5,2896000,2,2,0,0,1,0
635,693,44,1,3,1,0,1,3,6,6,4716000,1,3,0,0,2,0
636,694,28,1,3,1,4,1,1,24,5,2284000,4,2,0,0,1,0
637,695,50,1,3,2,1,1,0,6,8,1236000,2,1,0,0,1,0
638,696,29,1,3,1,4,0,1,12,5,1103000,4,3,0,1,2,0
639,697,38,0,1,1,0,1,1,12,6,926000,1,1,0,0,1,0
640,698,24,1,3,1,1,1,1,18,5,1800000,4,2,0,0,2,0
641,699,40,1,3,2,7,1,1,15,4,1905000,4,2,0,0,1,0
642,700,29,0,1,2,1,1,0,12,0,1123000,4,2,0,0,1,1
643,701,46,1,3,0,7,1,1,48,8,6331000,4,0,0,0,2,1
644,702,47,0,1,0,7,1,2,24,5,1377000,4,0,0,0,1,0
645,703,41,1,3,1,7,1,2,30,1,2503000,4,1,0,0,2,0
646,704,32,0,1,1,0,1,1,27,1,2528000,4,1,0,0,1,0
647,705,35,0,1,0,7,1,0,15,6,5324000,1,0,0,0,1,0
648,706,24,1,3,1,4,1,2,48,6,6560000,3,1,0,0,1,1
649,707,25,0,1,2,0,1,1,12,0,2969000,4,1,0,0,2,1
650,708,25,0,1,1,7,1,1,9,5,1206000,4,3,0,0,1,0
651,709,37,1,3,1,1,1,1,9,5,2118000,2,3,0,0,1,0
652,710,32,1,3,1,7,1,0,18,5,629000,4,1,0,0,2,0
653,711,35,0,1,0,7,1,1,6,4,1198000,4,0,0,0,1,1
654,712,46,1,3,1,7,1,3,21,8,2476000,4,3,0,0,1,0
655,713,25,1,3,1,1,1,1,9,5,1138000,4,3,0,0,2,0
656,715,63,1,3,1,7,1,3,30,8,7596000,1,2,0,0,2,0
657,716,40,1,3,1,7,1,3,30,5,3077000,3,2,0,0,2,0
658,717,32,1,3,0,1,1,1,18,5,1505000,4,0,0,0,1,0
659,718,31,1,3,1,1,1,3,24,5,3148000,3,2,0,0,2,0
660,719,31,1,2,1,7,1,2,20,8,6148000,3,2,0,0,2,0
661,720,34,1,3,1,0,1,1,9,5,1337000,4,2,0,0,2,1
662,721,24,0,1,2,0,1,4,6,4,433000,4,1,0,0,1,1
663,722,24,0,1,1,1,1,1,12,6,1228000,4,3,0,0,1,1
664,723,66,0,1,1,1,1,0,9,5,790000,4,3,0,0,1,0
665,724,21,0,1,2,1,1,1,27,6,2570000,3,3,0,0,1,1
666,725,41,0,1,1,1,1,4,6,6,250000,2,3,0,0,2,0
667,726,47,1,2,1,1,1,0,15,5,1316000,2,1,0,0,2,0
668,727,25,0,1,2,1,1,1,18,5,1882000,4,2,0,0,2,1
669,728,59,0,1,2,7,1,1,48,1,6416000,4,0,0,0,1,1
670,729,36,1,0,1,1,1,4,24,1,1275000,2,3,0,0,2,0
671,730,33,1,3,1,0,1,1,24,5,6403000,1,2,0,0,1,0
672,731,21,1,3,2,1,1,1,24,5,1987000,2,3,0,0,1,1
673,732,44,0,1,1,4,1,1,8,5,760000,4,3,0,1,1,0
674,733,28,0,1,2,1,1,4,24,8,2603000,2,2,0,0,1,0
675,734,37,0,1,1,4,1,1,4,6,3380000,1,3,0,0,1,0
676,735,29,0,1,1,0,1,3,36,3,3990000,3,0,0,0,1,0
677,737,35,1,3,1,1,1,2,18,6,4380000,3,2,0,0,1,0
678,738,45,1,3,1,4,1,1,6,6,6761000,1,0,0,0,2,0
679,739,26,0,1,2,1,1,2,30,1,4280000,4,2,0,0,2,1
680,740,32,1,3,1,4,1,2,24,6,2325000,2,2,0,0,1,0
681,741,23,1,3,1,1,1,1,10,5,1048000,4,3,0,0,1,0
682,742,41,1,3,1,7,1,3,21,5,3160000,4,1,0,0,1,0
683,743,22,1,3,1,1,1,0,24,0,2483000,4,3,0,0,1,0
684,745,28,1,3,1,0,1,1,13,1,1797000,3,1,0,0,2,0
685,746,23,0,1,2,0,1,1,15,6,2511000,1,2,0,0,1,0
686,747,37,0,1,1,0,1,1,12,6,1274000,3,3,0,0,1,1
687,748,26,1,3,1,1,1,3,21,8,5248000,1,2,0,0,1,0
688,749,33,1,3,1,4,1,1,15,8,3029000,2,2,0,0,1,0
689,750,49,0,1,1,7,1,1,6,0,428000,2,1,0,0,1,0
690,751,23,0,1,1,0,1,1,18,6,976000,1,2,0,0,1,1
691,752,23,0,1,2,4,1,2,12,1,841000,2,3,0,0,1,0
692,753,25,0,1,1,4,1,1,30,5,5771000,4,2,0,0,2,0
693,754,55,1,3,0,7,1,4,12,7,1555000,4,0,0,0,2,1
694,755,32,0,1,2,4,1,3,24,6,1285000,4,0,0,0,1,1
695,756,74,1,3,1,1,0,1,6,6,1299000,1,3,0,0,3,0
696,757,39,1,3,0,1,1,3,15,5,1271000,3,0,0,0,2,1
697,758,31,1,3,1,1,1,1,24,6,1393000,2,3,0,1,1,0
698,759,35,1,3,1,7,1,1,12,6,691000,4,1,0,0,2,1
699,760,59,0,1,1,7,1,3,15,6,5045000,1,2,0,0,1,0
700,761,24,0,1,2,1,1,1,18,0,2124000,4,3,0,0,2,1
701,762,24,1,3,1,1,1,1,12,5,2214000,4,1,0,0,1,0
702,764,27,1,2,1,4,1,2,24,6,2463000,4,1,0,0,2,0
703,765,40,1,2,1,7,1,1,12,5,1155000,3,3,0,1,2,0
704,766,31,1,0,1,0,1,1,30,0,3108000,2,1,0,0,1,1
705,767,31,0,1,2,0,1,3,10,8,2901000,1,3,0,0,1,0
706,768,28,1,3,2,7,1,1,12,0,3617000,1,2,0,0,3,0
707,769,63,1,3,1,7,1,1,12,5,1655000,2,3,0,0,2,0
708,770,26,0,1,2,7,1,3,24,8,2812000,2,3,0,0,1,0
709,772,36,1,3,1,7,1,1,21,8,3275000,1,2,0,0,1,0
710,773,52,1,3,1,7,1,2,24,5,2223000,4,1,0,0,2,0
711,774,66,1,3,0,0,1,0,12,6,1480000,2,0,0,0,3,0
712,775,25,0,1,2,1,1,3,24,6,1371000,4,3,0,0,1,1
713,776,37,1,3,1,4,1,1,36,6,3535000,4,2,0,0,2,0
714,777,25,0,1,1,4,1,1,18,5,3509000,4,3,0,1,1,0
715,778,38,1,3,1,7,1,4,36,8,5711000,4,2,0,0,2,0
716,779,67,0,1,1,0,1,1,18,7,3872000,2,2,0,0,1,0
717,780,25,1,3,1,4,1,1,39,5,4933000,2,3,0,1,2,1
718,781,60,1,3,1,7,1,4,24,6,1940000,4,3,0,0,1,0
719,782,31,1,3,1,1,1,1,12,2,1410000,2,3,0,0,1,0
720,783,23,0,1,1,0,1,2,12,6,836000,4,1,0,0,1,1
721,784,60,1,0,1,0,1,3,20,8,6468000,1,3,0,0,1,0
722,785,35,1,3,1,1,1,4,18,1,1941000,4,1,0,0,1,0
723,786,40,1,3,1,7,1,0,22,5,2675000,3,2,0,0,1,0
724,787,38,1,3,1,7,1,3,48,8,2751000,4,2,0,0,2,0
725,788,50,1,3,0,7,1,1,48,4,6224000,4,0,0,0,1,1
